No ,Kode ,Title,Harga 20%,Harga Dasar,Deskripsi Pendek,,Warna ,,Bahan ,,Ukuran ,,Keterangan,,Heels,stok,Berat,Kategori,Featured Image,Gambar ,,,stock
71,SLS 560,SLS 560,242400,202000,"Warna:Putih,Bahan:Cotton,Ukuran:All Size,Keterangan:,Heels:",Warna:,Putih,",Bahan:",Cotton,",Ukuran:",All Size,",Keterangan:",,",Heels:",,instock,1,Pakaian->Pakaian Wanita,71.jpg,71.jpg,71,.jpg,1
72,SNY 431,SNY 431,117840,98200,"Warna:Hitam,Bahan:Spandek Sutera,Ukuran:All Size,Keterangan:,Heels:",Warna:,Hitam,",Bahan:",Spandek Sutera,",Ukuran:",All Size,",Keterangan:",,",Heels:",,instock,1,Pakaian->Pakaian Wanita,72.jpg,72.jpg,72,.jpg,1
73,SOP 707,SOP 707,130680,108900,"Warna:Abu,Bahan:Spandek Sutera,Ukuran:All Size,Keterangan:,Heels:",Warna:,Abu,",Bahan:",Spandek Sutera,",Ukuran:",All Size,",Keterangan:",,",Heels:",,instock,1,Pakaian->Pakaian Wanita,73.jpg,73.jpg,73,.jpg,1
74,SMR 789,SMR 789,106560,88800,"Warna:Putih,Bahan:Spandek Sutera,Ukuran:All Size,Keterangan:,Heels:",Warna:,Putih,",Bahan:",Spandek Sutera,",Ukuran:",All Size,",Keterangan:",,",Heels:",,instock,1,Pakaian->Pakaian Wanita,74.jpg,74.jpg,74,.jpg,1
75,SKL 290,SKL 290,85200,71000,"Warna:Coklat,Bahan:Spandek,Ukuran:All Size,Keterangan:,Heels:",Warna:,Coklat,",Bahan:",Spandek,",Ukuran:",All Size,",Keterangan:",,",Heels:",,instock,1,Pakaian->Pakaian Wanita,75.jpg,75.jpg,75,.jpg,1
76,SOP 897,SOP 897,123600,103000,"Warna:Coklat,Bahan:Spandek,Ukuran:All Size,Keterangan:,Heels:",Warna:,Coklat,",Bahan:",Spandek,",Ukuran:",All Size,",Keterangan:",,",Heels:",,instock,1,Pakaian->Pakaian Wanita,76.jpg,76.jpg,76,.jpg,1
77,SNY 039,SNY 039,117840,98200,"Warna:Hitam,Bahan:Spandek Sutera,Ukuran:All Size,Keterangan:,Heels:",Warna:,Hitam,",Bahan:",Spandek Sutera,",Ukuran:",All Size,",Keterangan:",,",Heels:",,instock,1,Pakaian->Pakaian Wanita,77.jpg,77.jpg,77,.jpg,1
78,SNY 616,SNY 616,117840,98200,"Warna:Merah,Bahan:Spandek Sutera,Ukuran:All Size,Keterangan:,Heels:",Warna:,Merah,",Bahan:",Spandek Sutera,",Ukuran:",All Size,",Keterangan:",,",Heels:",,instock,1,Pakaian->Pakaian Wanita,78.jpg,78.jpg,78,.jpg,1
79,SKL 415,SKL 415,85200,71000,"Warna:Hitam,Bahan:Spandek,Ukuran:All Size,Keterangan:,Heels:",Warna:,Hitam,",Bahan:",Spandek,",Ukuran:",All Size,",Keterangan:",,",Heels:",,instock,1,Pakaian->Pakaian Wanita,79.jpg,79.jpg,79,.jpg,1
80,SKL 222,SKL 222,78000,65000,"Warna:Ungu,Bahan:Rajut ,Ukuran:All Size,Keterangan:,Heels:",Warna:,Ungu,",Bahan:",Rajut ,",Ukuran:",All Size,",Keterangan:",,",Heels:",,instock,1,Pakaian->Pakaian Wanita,80.jpg,80.jpg,80,.jpg,1
