No ,Kode ,Title ,Harga,Harga Dasar,Keterangan,,,,,,,,,,,
77,SNY 039,SNY 039," 	117,840 "," 	98,200 ",warna:,Hitam,",",Bahan:,Spandek Sutera,",",Ukuran:,All Size,",",Keterangan Lain :,,
78,SNY 616,SNY 616," 	117,840 "," 	98,200 ",warna:,Merah,",",Bahan:,Spandek Sutera,",",Ukuran:,All Size,",",Keterangan Lain :,,
79,SKL 415,SKL 415," 	85,200 "," 	71,000 ",warna:,Hitam,",",Bahan:,Spandek,",",Ukuran:,All Size,",",Keterangan Lain :,,
80,SKL 222,SKL 222," 	78,000 "," 	65,000 ",warna:,Ungu,",",Bahan:,Rajut ,",",Ukuran:,All Size,",",Keterangan Lain :,,
81,SHM 477,SHM 477," 	168,000 "," 	140,000 ",warna:,Hitam,",",Bahan:,Jeans,",",Ukuran:,M-L-XL,",",Keterangan Lain :,,
82,SHJ 757,SHJ 757," 	173,040 "," 	144,200 ",warna:,Biru,",",Bahan:,Jeans,",",Ukuran:,M-L-XL,",",Keterangan Lain :,,
83,SHJ 062,SHJ 062," 	173,040 "," 	144,200 ",warna:,Biru,",",Bahan:,Jeans Strecth,",",Ukuran:,M-L-XL,",",Keterangan Lain :,,
84,SHJ 084,SHJ 084," 	164,640 "," 	137,200 ",warna:,Biru,",",Bahan:,Jeans,",",Ukuran:,M-L,",",Keterangan Lain :,,
85,SPI 130,SPI 130," 	169,440 "," 	141,200 ",warna:,Biru,",",Bahan:,Jeans Strecth,",",Ukuran:,M-L-XL,",",Keterangan Lain :,,
86,SDN 659,SDN 659," 	129,840 "," 	108,200 ",warna:,Cklbir,",",Bahan:,Fleece,",",Ukuran:,M-L,",",Keterangan Lain :,,
87,SIR 648,SIR 648," 	146,880 "," 	122,400 ",warna:,Coklat,",",Bahan:,Fleece,",",Ukuran:,M-L,",",Keterangan Lain :,,
88,SMI 435,SMI 435," 	119,040 "," 	99,200 ",warna:,Coklat,",",Bahan:,Lotto,",",Ukuran:,M-L,",",Keterangan Lain :,,
89,SDN 584,SDN 584," 	125,040 "," 	104,200 ",warna:,Maroon,",",Bahan:,Lotto,",",Ukuran:,M-L,",",Keterangan Lain :,,
90,SGL 152,SGL 152," 	158,880 "," 	132,400 ",warna:,Birmud,",",Bahan:,Fleece,",",Ukuran:,M-L,",",Keterangan Lain :,,
91,SDD 637,SDD 637," 	144,480 "," 	120,400 ",warna:,Abu,",",Bahan:,Fleece,",",Ukuran:,M-L,",",Keterangan Lain :,,
92,SRD 942,SRD 942," 	164,640 "," 	137,200 ",warna:,Abubir,",",Bahan:,Diadora,",",Ukuran:,M-L,",",Keterangan Lain :,,
93,SIP 135,SIP 135," 	138,240 "," 	115,200 ",warna:,Pinkbir,",",Bahan:,Fleece,",",Ukuran:,M-L,",",Keterangan Lain :,,
94,STJ 246,STJ 246," 	147,600 "," 	123,000 ",warna:,Merah,",",Bahan:,Fleece,",",Ukuran:,M-L,",",Keterangan Lain :,,
95,SMD 215,SMD 215," 	147,600 "," 	123,000 ",warna:,Biru,",",Bahan:,Fleece,",",Ukuran:,M-L,",",Keterangan Lain :,,
96,SDN 334,SDN 334," 	129,840 "," 	108,200 ",warna:,Kuning,",",Bahan:,Lotto,",",Ukuran:,M-L,",",Keterangan Lain :,,
97,SFC 747,SFC 747," 	168,000 "," 	140,000 ",warna:,cretua,",",Bahan:,Micro,",",Ukuran:,M-L,",",Keterangan Lain :,,
98,SDN 280,SDN 280," 	155,280 "," 	129,400 ",warna:,Ungu,",",Bahan:,Ferari,",",Ukuran:,M-L,",",Keterangan Lain :,,
99,SRT 766,SRT 766," 	108,000 "," 	90,000 ",warna:,Mrhabu,",",Bahan:,Rajut ,",",Ukuran:,All Size,",",Keterangan Lain :,,
100,SRT 834,SRT 834," 	106,320 "," 	88,600 ",warna:,Hitam,",",Bahan:,Rajut ,",",Ukuran:,All Size,",",Keterangan Lain :,,
101,SRT 432,SRT 432," 	106,320 "," 	88,600 ",warna:,Cream Kombinasi,",",Bahan:,Rajut ,",",Ukuran:,All Size,",",Keterangan Lain :,,
102,SMI 544,SMI 544," 	142,560 "," 	118,800 ",warna:,Abu,",",Bahan:,Despo Metalic,",",Ukuran:,M-L,",",Keterangan Lain :,,
103,SDD 700,SDD 700," 	138,240 "," 	115,200 ",warna:,Abu Merah,",",Bahan:,Fleece,",",Ukuran:,M-L,",",Keterangan Lain :,,
104,SDD 220,SDD 220," 	142,560 "," 	118,800 ",warna:,Abu Merah,",",Bahan:,Fleece,",",Ukuran:,M-L,",",Keterangan Lain :,,
105,SZK 762 ,SZK 762 ," 	182,880 "," 	152,400 ",warna:,Coklat,",",Bahan:,Ferari,",",Ukuran:,M-L,",",Keterangan Lain :,,
106,SDN 495,SDN 495," 	159,360 "," 	132,800 ",warna:,Coklat,",",Bahan:,Ferari,",",Ukuran:,M-L,",",Keterangan Lain :,,
107,SNW 619,SNW 619," 	164,640 "," 	137,200 ",warna:,Hitam,",",Bahan:,Ferari,",",Ukuran:,M-L,",",Keterangan Lain :,,
108,SHJ 593,SHJ 593," 	157,920 "," 	131,600 ",warna:,Biru,",",Bahan:,Jeans,",",Ukuran:,S-M-L-XL,",",Keterangan Lain :,,
109,SHJ 059,SHJ 059," 	157,920 "," 	131,600 ",warna:,Biru,",",Bahan:,Jeans,",",Ukuran:,S-M-L-XL,",",Keterangan Lain :,,
